,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,DOLOMITI ENERGIA TRENTO,GRAN CANARIA,60,6,200:00,75,16,36,9,20,16,18,8,20,28,18,10,16,1,3,22,20,78,200:00,72,17,29,9,31,11,12,13,22,35,18,9,20,3,1,20,22,83
0,CEDEVITA OLIMPIJA LJUBLJANA,RATIOPHARM ULM,61,7,200:00,108,22,32,17,31,13,18,7,34,41,24,6,11,1,0,19,20,141,200:00,78,19,34,10,33,10,13,6,22,28,16,7,10,0,1,20,19,76
0,MINCIDELICE JL BOURG EN BRESSE,PROMETEY SLOBOZHANSKE,62,7,225:00,92,19,39,14,34,12,18,14,28,42,15,10,17,1,1,25,21,92,225:00,85,18,33,9,36,22,31,14,29,43,15,10,16,1,1,21,25,90
0,U-BT CLUJ-NAPOCA,JOVENTUT BADALONA,63,7,200:00,98,19,33,16,32,12,15,13,24,37,22,6,14,0,0,24,18,110,200:00,82,21,34,7,26,19,24,11,19,30,11,7,13,0,0,18,21,83
0,UMANA REYER VENICE,FRUTTI EXTRA BURSASPOR,64,7,200:00,78,22,40,6,26,16,20,19,23,42,15,8,13,2,3,22,25,90,200:00,65,13,27,7,19,18,28,6,20,26,12,5,15,3,2,26,22,54
0,7BET-LIETKABELIS PANEVEZYS,GERMANI BRESCIA,65,7,200:00,79,20,40,7,20,18,20,10,26,36,20,7,10,2,5,20,18,92,200:00,70,12,31,10,21,16,19,5,20,25,18,4,11,5,2,18,20,78
0,TURK TELEKOM ANKARA,GRAN CANARIA,66,7,200:00,81,18,29,11,27,12,20,7,19,26,19,6,8,2,1,18,22,94,200:00,88,23,33,10,32,12,15,14,22,36,23,4,9,1,2,22,18,102
0,BUDUCNOST VOLI PODGORICA,DOLOMITI ENERGIA TRENTO,67,7,200:00,73,16,41,9,22,14,18,16,24,40,13,8,13,4,7,18,16,74,200:00,58,15,34,7,23,7,13,13,23,36,11,10,16,7,4,16,18,63
0,VEOLIA TOWERS HAMBURG,HAPOEL TEL AVIV,68,7,225:00,98,21,43,11,38,23,26,21,28,49,18,9,18,3,4,20,25,108,225:00,91,24,44,9,24,16,24,11,28,39,21,13,21,4,3,26,20,95
0,SLASK WROCLAW,PARIS BASKETBALL,69,7,200:00,69,23,44,5,26,8,18,8,37,45,15,5,11,4,1,20,15,69,200:00,77,15,32,9,27,20,29,4,38,42,15,6,11,1,4,15,20,87
0,PROMITHEAS PATRAS,LONDON LIONS,70,7,200:00,67,14,34,9,28,12,15,8,24,32,11,7,9,1,7,20,17,57,200:00,77,22,42,6,23,15,22,13,33,46,19,4,12,7,1,17,19,98
0,CEDEVITA OLIMPIJA LJUBLJANA,GERMANI BRESCIA,71,8,200:00,80,13,41,9,22,27,32,11,26,37,14,6,9,1,5,26,23,75,200:00,83,18,36,10,27,17,23,12,30,42,16,4,11,5,1,24,26,99
